Keyword,EndRank,EndClicks,SearchVolume,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,description,TF-IDF_score
apple contact number nz,80,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002294369683374741
apple helpline nz,38,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,53.0,60.0,,68.0,,,,,,53.0,,38.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020026929393393185
apple education nz,63,0,0.0,,,,,77.0,77.0,,68.0,,,45.0,,32.0,,,,,,,76.0,,,60.0,,64.0,72.0,,66.0,,55.0,45.0,,56.0,66.0,,76.0,,71.0,,,,79.0,,55.0,,63.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002179477375893953
apple uni discount,99,0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.00208597806251429
apple nz student discount,41,0,0.0,,58.0,,,51.0,,57.0,,,,57.0,,,,,,,,,,,59.0,,53.0,,62.0,,,,21.0,,40.0,43.0,,25.0,,,,59.0,,39.0,,34.0,,41.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021274297497328896
student discount apple nz,47,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,61.0,,65.0,,,,,,,,,55.0,,,,,42.0,,,41.0,,,47.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021274297497328896
apple student discount nz,54,0,0.0,,,,,90.0,,90.0,,,,,,,64.0,57.0,,49.0,,55.0,51.0,,,,56.0,74.0,,78.0,63.0,,74.0,70.0,,57.0,,53.0,,,,,,,,,56.0,,54.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021274297497328896
uni discount apple,91,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,91.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.00208597806251429
student loan application,1,49,300.0,,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023461241328867483
application,18,11,1200.0,,,,,15.0,13.0,,13.0,,,24.0,,,25.0,56.0,,10.0,,,16.0,,21.0,10.0,,15.0,,,9.0,,21.0,29.0,,9.0,11.0,,16.0,,16.0,,28.0,,,,18.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023258912403925818
ird number application,78,2,1200.0,,,,,42.0,36.0,,41.0,,,34.0,,,37.0,40.0,,37.0,,41.0,46.0,,70.0,72.0,,52.0,,,58.0,,83.0,82.0,,78.0,,,,,,,,87.0,,73.0,,78.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023437820071857585
residency application,7,1,60.0,,10.0,,,7.0,,8.0,,9.0,,,10.0,,,12.0,23.0,,25.0,,26.0,20.0,,20.0,18.0,,15.0,8.0,,9.0,,6.0,,,,,76.0,,6.0,,3.0,,10.0,,7.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002206038145160836
auckland uni application,35,1,200.0,,36.0,,,29.0,,33.0,,34.0,,,,,65.0,,46.0,,42.0,49.0,,41.0,,48.0,50.0,,43.0,40.0,,43.0,42.0,,,,,,,,,,,,61.0,,64.0,,35.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022983671180457654
birth certificate application,38,0,120.0,,,,,25.0,,36.0,18.0,,,,,,,,,29.0,,33.0,22.0,,,,23.0,,,72.0,71.0,,69.0,,60.0,29.0,,28.0,13.0,,10.0,,,43.0,,31.0,,38.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.00215015960520979
applications uoa,35,0,100.0,,32.0,,,28.0,,,31.0,,27.0,,,,,,,,,,,,,,,,,,,,,33.0,,22.0,41.0,,47.0,,38.0,,35.0,,29.0,,40.0,,35.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.001986068437205733
loan application,7,0,20.0,,17.0,,,23.0,,20.0,,,17.0,,5.0,,,5.0,,20.0,6.0,,21.0,7.0,,18.0,,6.0,,7.0,,7.0,7.0,,,17.0,,11.0,,,11.0,,17.0,,9.0,,7.0,,7.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023177128744400256
anz credit card application,76,0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,89.0,,,,,76.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002271860837855505
z application,45,0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,25.0,62.0,,49.0,,39.0,,39.0,,36.0,,45.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023258912403925818
application dropbox,68,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019972023790821533
bank transfer application,61,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021748185077085144
realme passport application,20,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021768182573769644
ird number application nz,83,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,94.0,84.0,,,,94.0,,75.0,,71.0,,83.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0024332363822487596
aut application deadline 2024,44,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,46.0,,,44.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002129863479755395
application budget,58,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002149389638316647
new zealand pr application,54,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,63.0,,54.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023420140761819482
msd application,9,0,0.0,,11.0,,,9.0,,10.0,,9.0,,,9.0,,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,10.0,,,9.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002231022493693364
ird application,41,0,0.0,,,,,30.0,,20.0,,20.0,,20.0,,,29.0,,34.0,,25.0,29.0,,42.0,45.0,,44.0,,43.0,45.0,,42.0,37.0,,40.0,49.0,,40.0,,,,72.0,,45.0,,42.0,,41.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002318321432139145
job seeking application,70,0,0.0,,,,,,,,,,,,43.0,,,,,,,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,70.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002069425840256088
new zealand residency application,32,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,33.0,,28.0,48.0,,51.0,,35.0,,38.0,,27.0,,32.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002375095974466694
winz application,23,0,0.0,,,,,21.0,,15.0,,20.0,,23.0,,,,14.0,13.0,,12.0,,15.0,16.0,,14.0,13.0,,13.0,,14.0,36.0,,17.0,,28.0,25.0,,29.0,,35.0,,24.0,,26.0,,25.0,,23.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023254345987425455
student loan application nz,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.00243709350165842
application for nz residency,14,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,24.0,,52.0,,40.0,,31.0,,19.0,,14.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023311716815636
applications education,79,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019536882122418303
application education,74,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,74.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021880786151887745
application update,12,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020250220207674668
new zealand visa application online,93,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,,83.0,71.0,,80.0,89.0,,82.0,,,,,,96.0,,93.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0024655544220243634
ird hardship application,26,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022122679177350164
online passport application nz,90,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,97.0,,91.0,,97.0,,94.0,,90.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002276035745759352
ird number nz application,66,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,73.0,,95.0,,91.0,,59.0,,61.0,,61.0,,66.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0024332363822487596
online ird application,55,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,35.0,,31.0,36.0,,33.0,60.0,,58.0,,59.0,,76.0,,54.0,,51.0,,55.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023467061985316283
application z,38,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023258912403925818
urgent ird number application,24,0,0.0,,,,14.0,,,,,,16.0,,,15.0,,17.0,,18.0,22.0,,19.0,,17.0,17.0,,18.0,,24.0,22.0,,25.0,31.0,,29.0,,39.0,,,34.0,,26.0,,26.0,,,24.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002231760861744335
uoa application portal,25,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002246698821207398
aut application,33,0,0.0,,,,,35.0,,39.0,,38.0,,38.0,,,55.0,,44.0,,25.0,61.0,,24.0,60.0,,41.0,34.0,,37.0,,29.0,31.0,,30.0,27.0,,40.0,38.0,,29.0,,,24.0,,27.0,,33.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022676776822544696
google finance application,87,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,87.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002014385005659639
studylink application,1,0,0.0,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022060381451608365
online application for ird number,33,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,36.0,,40.0,,33.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0024037048664269697
uc halls application,89,0,0.0,,,49.0,,,34.0,,,47.0,,,,41.0,,55.0,,,43.0,,44.0,,,41.0,,,,,42.0,,,,,,,,,,,,,,,,,,89.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021208422984138674
payments application,67,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002221948508989107
winz housing application,45,0,0.0,,,,25.0,,25.0,,24.0,,39.0,,35.0,,,30.0,,24.0,22.0,,31.0,34.0,,26.0,,25.0,25.0,,33.0,,37.0,,,,37.0,52.0,,62.0,,58.0,,44.0,,46.0,,45.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.00217549723804699
uoa application,23,0,0.0,,30.0,,,24.0,22.0,,25.0,,,23.0,,,16.0,,,15.0,,38.0,13.0,,13.0,13.0,,23.0,,,14.0,,13.0,15.0,,17.0,,38.0,,,,24.0,,22.0,,26.0,,23.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022860565165130635
ird online application,64,0,0.0,,,,,,,,,19.0,,19.0,,,,,,,,,,,,,45.0,,48.0,,44.0,,,30.0,,42.0,,62.0,,57.0,,71.0,,48.0,,53.0,,64.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023467061985316283
student visa application for new zealand,84,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,92.0,,84.0,,,,,,,,,,84.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0024943744648520346
application uoa,24,0,0.0,,,,,23.0,,25.0,,16.0,,,13.0,,,47.0,,12.0,15.0,,13.0,14.0,,13.0,,13.0,15.0,,16.0,15.0,,16.0,16.0,,36.0,36.0,,29.0,,20.0,,25.0,,30.0,,24.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022860565165130635
anz hardship application,42,0,0.0,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,33.0,33.0,,48.0,,55.0,,52.0,,42.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021947870692919404
winz back pay application,25,0,0.0,,15.0,,,14.0,,13.0,,14.0,,15.0,,,25.0,,26.0,36.0,,33.0,36.0,,37.0,,37.0,28.0,,23.0,32.0,,39.0,32.0,,42.0,,35.0,,,,30.0,,26.0,,27.0,,25.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002250439918439152
seek application,46,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002167501375819548
residency application nz,16,0,0.0,,,,,17.0,,21.0,31.0,,,21.0,,,,,,,,,,,,,37.0,24.0,,40.0,,67.0,13.0,,31.0,40.0,,68.0,,,63.0,,,54.0,,62.0,,16.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023003878197622738
tax application,72,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,86.0,,72.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002349902324608305
continue application uoa,16,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,31.0,,20.0,,24.0,,28.0,,22.0,,16.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020299234302095606
ird nz application,66,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,66.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0024103979420224703
application auckland uni,36,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,42.0,,72.0,44.0,,51.0,,64.0,,52.0,,63.0,,36.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022983671180457654
pr application nz,28,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,25.0,,26.0,27.0,,34.0,,81.0,,40.0,,21.0,,28.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002257317281593433
ird application online,44,0,0.0,,,,,,,36.0,,27.0,,27.0,,,,35.0,31.0,,33.0,37.0,,45.0,,46.0,45.0,,45.0,42.0,,41.0,30.0,,32.0,67.0,,70.0,,64.0,,,,,68.0,,76.0,,44.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023467061985316283
files application,25,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,20.0,,25.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020122162136086493
university of otago application,61,0,0.0,,32.0,,,26.0,,34.0,,29.0,,,,40.0,,,,48.0,75.0,,54.0,,,67.0,,,,,62.0,,,,,,,,,54.0,,,,,,,,,61.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002376216194820595
apply application,8,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,9.0,,8.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023481947924021626
how to apply application,16,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,16.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002394947895467946
applied applications,23,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,19.0,17.0,,,,,,21.0,,25.0,,23.0,,23.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.001824481402623484
auckland university application,48,1,400.0,,55.0,,,39.0,,45.0,44.0,,,28.0,,,37.0,,45.0,54.0,,80.0,,49.0,47.0,,46.0,46.0,,35.0,44.0,,46.0,35.0,,34.0,,66.0,,,,74.0,,64.0,,75.0,,48.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023502287239464043
application auckland university,46,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,69.0,,55.0,,49.0,,62.0,,71.0,,46.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023502287239464043
university of auckland application status,19,0,0.0,,,,,16.0,,,19.0,,21.0,,,,,,,,,,,,,,,,,,,,,21.0,25.0,,47.0,,51.0,,39.0,,13.0,,18.0,,24.0,19.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023670342631565435
auckland university application status,22,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,25.0,,,,36.0,,,,13.0,,14.0,,22.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002280125095904502
nz citizenship application,70,0,0.0,,,,,47.0,58.0,,,,,86.0,,27.0,,41.0,,25.0,,30.0,54.0,,,67.0,,75.0,96.0,,77.0,,,72.0,,41.0,85.0,,,,,,64.0,,87.0,,93.0,,70.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023124769668810175
application for nz citizenship,81,0,0.0,,,,,,,,,,,,,,,,,,,36.0,,35.0,,,29.0,70.0,,72.0,73.0,,72.0,91.0,,89.0,,,75.0,,92.0,,64.0,,50.0,,81.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002342952187084899
application for new zealand citizenship,71,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,89.0,,,,,,,,71.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002414340763590029
