Keyword,EndRank,EndClicks,SearchVolume,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,description,TF-IDF_score
legal aid christchurch,30,0,0.0,,,,,,,22.0,,24.0,,,19.0,,,30.0,,28.0,24.0,,85.0,,,68.0,,62.0,,,75.0,,,,,86.0,,89.0,,,45.0,,,,,,51.0,,30.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017641018865483542
legal aid new zealand,15,0,0.0,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,19.0,43.0,,49.0,,22.0,,29.0,,20.0,,15.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017297642188081397
legal aid contact number,9,0,0.0,,,,,,,,,16.0,,,32.0,,,29.0,,12.0,11.0,,15.0,,,11.0,10.0,,5.0,,5.0,4.0,,5.0,,10.0,,10.0,13.0,,10.0,,7.0,,4.0,,6.0,,9.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001757450135799573
aid legal,4,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,10.0,,,,,,,,,,,,,4.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017190710107219697
legal aid auckland,10,0,0.0,,,,,24.0,,27.0,,,,,,,,27.0,,24.0,14.0,,15.0,,,13.0,,14.0,,,,,,,,,12.0,,,,12.0,,10.0,,10.0,,10.0,,10.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017729508357508814
legal aid wellington,45,0,0.0,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,59.0,,,,45.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017579117477053705
legal aid lawyer,12,2,140.0,,24.0,,,25.0,,22.0,,22.0,,42.0,,,,,,,,,,19.0,17.0,,,,14.0,14.0,,18.0,15.0,,,22.0,,22.0,,,,14.0,,16.0,,11.0,,12.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016549015658126947
legal aid lawyers,61,0,100.0,,34.0,,,27.0,,22.0,,34.0,,28.0,,,26.0,,26.0,,28.0,19.0,,22.0,25.0,,13.0,22.0,,34.0,,76.0,78.0,,83.0,81.0,,10.0,79.0,,75.0,,,80.0,6.0,,61.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016782947279724047
legal aid for lawyers,15,0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,15.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001724595042854123
legal aid lawyers in auckland,83,0,0.0,,,,,,,,,,,,,,,,,,,,,30.0,37.0,,53.0,,,,,,,,,,,,,,,,,,,,,83.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017960038688827845
